placement,date,short,long,visual,link,yn,credit
1908,March 1871,The Daily Californian established,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",founded.jpeg,none,,
1917,2/2/1917,“U.S. Is Near War Says Dr. Elliot”,"The Daily Californian originally published as <a style=""text-decoration: underline;"" href=http://alzhao.com/>the</a> ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",ww1.png,https://digicoll.lib.berkeley.edu/record/64219?ln=en#?c=0&m=0&s=0&cv=0&r=0&xywh=8503%2C1058%2C2361%2C1435,,
1919,4/9/1917,“War Department Approves Service”; “Bell Advises Students to Remain at College”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",service.png,https://digicoll.lib.berkeley.edu/record/64175?ln=en#?c=0&m=0&s=0&cv=0&r=0&xywh=2797%2C-1522%2C9051%2C5499,,
1923,11/23/1923,“Bears Ready for Big Game”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",biggame.png,https://digicoll.lib.berkeley.edu/record/63103?ln=en#?c=0&m=0&s=0&cv=0&r=0&xywh=6579%2C640%2C4028%2C1899,,
1929,10/29/1929,“Stock Crash Raises Havoc on Exchange”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",stock.png,https://digicoll.lib.berkeley.edu/record/61204?ln=en#?c=0&m=0&s=0&cv=0&r=0&xywh=5032%2C201%2C933%2C1024,,
1932,4/4/1930,"""Ax Stolen!""","The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",axstolen.png,https://digicoll.lib.berkeley.edu/record/61119?ln=en#?c=0&m=0&s=0&cv=0&r=0&xywh=3957%2C-243%2C6424%2C7054,,
1941,12/11/1941,“WAR EXTRA” - “Enlisted Students’ Finals Are Over”; “Japanese Ship Bombed; Enemy Win Luzon Hold”; “Draft Future Still Uncertain”; “Registrar Says Full Credit To Be Allowed”; “We Shall Need Clear Heads”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",ww2.png,https://digicoll.lib.berkeley.edu/record/58116?ln=en#?c=0&m=0&s=0&cv=0&r=0&xywh=4499%2C1177%2C1775%2C1949,,
1948,1943-1958,Archive gap,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",none,,,
1953,11/25/1963,“This Is a Day of National Mourning”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",jfk.png,https://digicoll.lib.berkeley.edu/record/57302?ln=en#?c=0&m=0&s=0&cv=0&r=0&xywh=4131%2C-604%2C5096%2C5596,,
1955,12/3/1964,"“1,000 Jam into Sproul Overnight”","The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",strike.png,https://digicoll.lib.berkeley.edu/record/55913?ln=en#?c=0&m=0&s=0&cv=0&r=0&xywh=5222%2C1988%2C3868%2C4247,,
1957,5/6/1965,“March on Draft Board”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",draft.png,https://digicoll.lib.berkeley.edu/record/55838?ln=en#?c=0&m=0&s=0&cv=1&r=0&xywh=-82%2C178%2C3243%2C1971,,
1959,4/5/1968,“Martin Luther King Shot and Killed”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",mlk.png,https://digicoll.lib.berkeley.edu/record/55410?ln=en#?c=0&m=0&s=0&cv=0&r=0&xywh=-1457%2C-357%2C11687%2C7102,,
1961,5/11/1971,“Let's Go Down and Take the Park - Again”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",park.png,https://digicoll.lib.berkeley.edu/record/52962?ln=en#?c=0&m=0&s=0&cv=0&r=0&xywh=4422%2C3867%2C5213%2C3168,,
1963,9/28/1971,“DC Goes Off Campus-- Free of Regental Control”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",indep.png,https://digicoll.lib.berkeley.edu/record/52922?ln=en#?c=0&m=0&s=0&cv=0&r=0&xywh=4084%2C-1233%2C5655%2C6210,,
1969,9/14/1979,“The H-Bomb ‘Secret’ ”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",hbomb.png,https://digicoll.lib.berkeley.edu/record/47155?ln=en#?c=0&m=0&s=0&cv=0&r=0&xywh=4745%2C-2403%2C6808%2C7475,,
1972,11/22/1982,“Miracle at Memorial”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",memorial.png,https://digicoll.lib.berkeley.edu/record/11245?ln=en#?c=0&m=0&s=0&cv=0&r=0&xywh=-2000%2C-414%2C13589%2C8257,,
1975,3/4/1985,“Apartheid protesters will serve jail terms”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",apartheid.png,https://digicoll.lib.berkeley.edu/record/11201?ln=en#?c=0&m=0&s=0&cv=0&r=0&xywh=7170%2C450%2C2285%2C2509,,
1977,7/23/1986,“Regents vote to divest $3.1 billion”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",divest.png,https://digicoll.lib.berkeley.edu/record/10913?ln=en#?c=0&m=0&s=0&cv=0&r=0&xywh=4638%2C213%2C5470%2C3323,,
1985,6/9/1995,"""Visit us on-line""","The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",web.png,https://digicoll.lib.berkeley.edu/record/4149?ln=en#?c=0&m=0&s=0&cv=0&r=0&xywh=4531%2C-606%2C4314%2C2621,,
1987,11/4/1996,“End Race and Gender Preferences”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",prop209.png,https://digicoll.lib.berkeley.edu/record/3887?ln=en#?c=0&m=0&s=0&cv=3&r=0&xywh=3142%2C-2923%2C9518%2C10451,,
1989,1/21/1997,"""Out for Sushi""","The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",sex.png,https://digicoll.lib.berkeley.edu/record/3858?ln=en#?c=0&m=0&s=0&cv=2&r=0&xywh=-177%2C386%2C2451%2C1489,,
1993,9/12/2001,"""Where To Now?""","The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",911.png,https://archive.dailycal.org/article.php?id=6236,,
1995,11/5/2002,“Stolen Newspapers Found in Trash”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",stolen.png,https://digicoll.lib.berkeley.edu/record/2908?ln=en#?c=0&m=0&s=0&cv=1&r=0&xywh=1045%2C248%2C2139%2C2348,,
1997,10/16/2006,The Daily Clog is founded,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",clog.png,https://clog.dailycal.org/2006/10/16/come-to-the-asuc-meeting-this-wednesday-at-7/,,
1999,8/25/2008,End of Wednesday papers,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",wednesday.png,https://archive.dailycal.org/article.php?id=102298,,
2002,8/2/2012,“Thanks for the memories”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",office.jpg,https://www.dailycal.org/2012/08/02/thanks-for-the-memories-eshleman/,need credit,Stephanie Baer/Senior Staff)
2004,2/7/2014,Weekender is founded,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",weekender.png,https://www.dailycal.org/2014/02/07/editors-note-15/,,
2006,11/9/2016,“Berkeley protest erupts after Donald Trump wins presidency”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",trump.jpeg,https://www.dailycal.org/2016/11/09/berkeley-protest-erupts-trump-wins-presidency/,need credit,mikaela raphael staff
2007,Fall 2017,Projects founded,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",none,https://dailycal-projects.tumblr.com/post/166359756767/private-research-industry-funded-research-takes,,
2009,3/9/2017,“Editor’s note: The Daily Cal aims to improve diversity”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",none,https://www.dailycal.org/2017/03/09/editors-note-daily-cal-aims-improve-diversity/,,
2011,2/1/2017,“Milo Yiannopoulos event canceled as violent protests erupt at UC Berkeley”,"The Daily Californian originally published as the ""University Echo"", starting in 1871. The Daily Cal is one of the oldest student newspapers in the US. ",milo.jpeg,https://www.dailycal.org/2017/02/01/milo-yiannopoulos-event-canceled-violent-protests-erupt-uc-berkeley/,,mikaela raphael staff
